id,task,status,priority,notes,phase
38a,"Create EF Core entity classes for City, State, Pincode, Zone, Locality based on SRS specifications.",done,high,"rejected: files outside any compiled project | no changes made: 2026-07-29 23:34:22 | manually implemented: State/City/Zone/Pincode/Locality entities added to backend/shared/Domain (the model had written them to a bogus root-level Nestly.Domain/Entities/ folder outside any project, as empty files); dotnet build Nestly.sln succeeded",Phase 2 - Catalog & Serviceability
38b,Configure navigation properties and foreign key constraints within the C# DbContext to model geography relationships.,done,high,depends on #38a | no changes made: 2026-07-29 23:56:19 | no changes made: 2026-07-30 00:10:37 | no changes made: 2026-07-30 00:19:45 | no changes made: 2026-07-30 00:25:30 | no changes made: 2026-07-30 00:31:42 | no changes made: 2026-07-30 00:41:19 | timed out: 2026-07-30 19:41:20 | superseded: decomposed into subtasks | completed: all subtasks (38ba/38bb/38bc/38bd) done,Phase 2 - Catalog & Serviceability
38c,Execute database migration commands to generate SQL DDL scripts for the new Geography master schema tables.,done,high,"depends on #38bd | completed: satisfied by migration 20260730151925_AddGeographySchema (task 38bc); verified via 'dotnet ef migrations script' producing valid Postgres DDL (CREATE TABLE state/city/pincode/zone/locality, FKs, unique indexes) - no separate raw-SQL-file convention exists elsewhere in this repo, migrations *are* the DDL source of truth",Phase 2 - Catalog & Serviceability
38ba,"Define navigation properties in the entity classes that represent the geographic entities (e.g., Country and City).",done,high,"awaiting review - built by local (qwen2.5-coder:7b) 2026-07-30 19:49:18, 225s | decomposed subtask;  | completed: added City/Zone/Pincode/Locality nav properties, verified via build",Phase 2 - Catalog & Serviceability
38bb,Configure foreign key relationships between entities using Fluent API within the DbContext configuration.,done,high,depends on #38ba | verification failed: 2026-07-30 19:53:41 | verification failed: 2026-07-30 19:58:27 | verification failed: 2026-07-30 20:03:09 | verification failed: 2026-07-30 20:07:20 | verification failed: 2026-07-30 20:11:44 | verification failed: 2026-07-30 20:14:01 | verification failed: 2026-07-30 20:35:12 | verification failed: 2026-07-30 20:36:38 | verification failed: 2026-07-30 20:38:05 | verification failed: 2026-07-30 20:39:31 | completed: added State/City/Zone/Pincode/Locality EF configurations with Fluent API FK relationships (Restrict on delete) + unique indexes; registered missing DbSets; dotnet build and full test suite (69 tests) pass,Phase 2 - Catalog & Serviceability
38bc,Add migration scripts to apply the changes to the database schema.,done,high,depends on #38bb | completed: generated EF Core migration 20260730151925_AddGeographySchema (database/migrations) for state/city/pincode/zone/locality tables with FKs and unique indexes; dotnet ef migrations list confirms it applies cleanly after prior migrations; build + full test suite (69) pass,Phase 2 - Catalog & Serviceability
38bd,Test the navigation and foreign key constraints by adding sample data and querying through these properties.,done,high,"depends on #38bc | completed: new Catalog.Tests project (backend/tests/Catalog.Tests) with GeographyRelationshipTests covering nav-property querying, FK violation, and unique-index violations against real SQLite-backed data; 4/4 pass, full suite 73/73 pass",Phase 2 - Catalog & Serviceability
39,Serviceability - Serviceability mapping schema: Category-city and service-pincode/locality mappings + blackout support (SRS 23.2),done,high,"reset: audited against actual code, found false - no serviceability mapping entities exist anywhere, and this depends on #38c which doesn't exist either. Not done. | reset: worker stopped mid-task | completed: CategoryCityMapping and ServicePincodeMapping entities + EF configs (unique index per pair, FK Restrict) + migration 20260730152505_AddServiceabilityMappingSchema; IsActive toggle covers temporary suspension/blackout in an area; ServiceabilityMappingTests (3 tests) verify deactivation, unique index, and FK violation; full suite 76/76 pass",Phase 2 - Catalog & Serviceability
40a,Catalog - Value Objects: Pricing rules; ordering (SRS 12.5),done,high,"depends on #4 #37b | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | timed out: 2026-07-29 22:33:16 | timed out: 2026-07-30 19:41:20 | superseded: decomposed into subtasks | reset: deleted - unreferenced speculative stub, disconnected from real requirements (generic DiscountType/Amount PricingRule and unused IOrderingStrategy<T> with no implementations). Ordering is already solved by the existing SortOrder field on Category/Service; real pricing rules belong to task 47 (SRS 12.8: base/add-on/quantity/city-wise/visit charge/tax/fees), built there with concrete shape instead",Phase 2 - Catalog & Serviceability
40b,Catalog - Category aggregate: Entity; repository interface (SRS 12.5),done,high,"depends on #4 #37b #40ad | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: Category promoted to AggregateRoot<Guid>; ICategoryRepository (GetBySlugAsync/ExistsBySlugAsync) + CategoryRepository, registered in DI; 2 new tests, full suite 78/78 pass",Phase 2 - Catalog & Serviceability
40c,Catalog - Service aggregate: Entity; exclusions (SRS 12.6),done,high,"depends on #4 #37b #40b | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: Service promoted to AggregateRoot<Guid>; added Inclusions/Exclusions fields (SRS 12.6.2, needed by task 42b detail API) with EF config + migration 20260730154054_AddServiceInclusionsExclusions; test verifies round-trip; full suite 79/79 pass",Phase 2 - Catalog & Serviceability
40d,Catalog - AddOn aggregate: Entity,done,high,"depends on #4 #37b #40c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: ServiceAddOn promoted to AggregateRoot<Guid>; added Description/IsActive(default true)/SortOrder matching the Category/Service admin-manageable field pattern (SRS 12.7.2); migration 20260730154332_AddServiceAddOnFields; 2 new tests, full suite 81/81 pass",Phase 2 - Catalog & Serviceability
40e,Catalog - Domain events for catalog lifecycle (SRS 12.5-12.7),done,high,"depends on #40d | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: catalog lifecycle events (Category/Service/ServiceAddOn Created/Activated/Deactivated + ServicePriceChanged), raised idempotently (no duplicate on no-op state change); DomainEventDispatchInterceptor publishes via MediatR after SaveChangesAsync commits (post-commit, so rolled-back changes never fire handlers) and clears the aggregate's event list; wired into NestlyDbContext alongside the audit interceptor. Gives task 49 (cache invalidation) a real hook. 6 new tests (5 domain-level + 1 full dispatch-through-MediatR integration test), full suite 87/87 pass",Phase 2 - Catalog & Serviceability
